Category,Address,Municipality,Price,Tenant,Land Use,Land Area,Sub Type,Event Date,Vendor,Vendor Signing Officer,Vendor Address,Purchaser,Purchaser Signing Officer,Purchaser Address,Mortgage Type 1,Primary Lender 1,Secondary Lender 1,Tertiary Lender 1,Interest Rate 1,Principal Amount 1,Calculation Period 1,Payment Frequency 1,Payment Amount 1,Commencement Date 1,Maturity Date 1,Instrument Date 1,See Remarks 1,Mortgage Type 2,Primary Lender 2,Secondary Lender 2,Tertiary Lender 2,Interest Rate 2,Principal Amount 2,Calculation Period 2,Payment Frequency 2,Payment Amount 2,Commencement Date 2,Maturity Date 2,Instrument Date 2,See Remarks 2,Mortgage Type 3,Primary Lender 3,Secondary Lender 3,Tertiary Lender 3,Interest Rate 3,Principal Amount 3,Calculation Period 3,Payment Frequency 3,Payment Amount 3,Commencement Date 3,Maturity Date 3,Instrument Date 3,See Remarks 3,Mortgage Type 4,Primary Lender 4,Secondary Lender 4,Tertiary Lender 4,Interest Rate 4,Principal Amount 4,Calculation Period 4,Payment Frequency 4,Payment Amount 4,Commencement Date 4,Maturity Date 4,Instrument Date 4,See Remarks 4
Office,65 The East Mall,Etobicoke,"$4,900,000 ",Multi Tenant,,,,7/15/2019,Forest Ridge Inc.,"Adolph Zarovinsky, President", 65 The East Mall    -   2018-01-19,Community Living Toronto  - User,"Brad Saunders, ASO","65 The East Mall, Etobicoke, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,1091 Gorham Street,Newmarket,"$10,450,000 ",Multi Tenant,,,Flex Office,7/15/2019,Skyline Commercial REIT (Skyline Commercial Real Estate Holdings Inc.),"Roy Jason Ashdown, ASO", 1091 Gorham Street    -   2012-11-06,OJCR Construction (Mamba Gorham Inc.)  - Private Investor - Canadian,"John Di Santo, ASO","3695 Dufferin Street, Toronto, Ontario, M3K 1N9",Subsequent,Royal Bank of Canada,,,18%,"$4,450,000.00 ",Semi-annually,Monthly,"$65,253.90 ",,,7/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,9983 Keele Street,Vaughan,"$4,300,000 ",Multi Tenant,,,Medical Office Building,7/12/2019,The Bettina Group (The Bettina Group No. 3 Inc.),"Alexander Sennecke, Director","c/o Baldwin Sennecke Halman LLP, Attention: Alexander Sennecke, 1320 - 25 Adelaide Street East, Toronto, Ontario, M5C 3A1",Streamline Real Estate Holdings Inc.  - Private Investor - Canadian,"Raffaele D'Urzo and Donato Trinchi, ASOs","10 Oakland Avenue, Toronto, Ontario, M9M 2H8",Subsequent - Demand Debenture,The Toronto-Dominion Bank,,,The Toronto-Dominion Bank's Prime Rate plus 5% per annum,"$2,500,000.00 ",Monthly,Monthly,,,,7/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,540 Brimley Road,Scarborough,"$1,700,000 ",Multi Tenant,,,Medical Office Building,7/11/2019,2016852 Ontario Inc.,"William Kerr, ASO","William Kerr, ASO",2681486 Ontario Inc.  - Private Investor - Canadian,"Kiranjot Gosal, ASO","540 Brimley Road, Scarborough",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal's Prime Rate plus 5.00%,"$1,700,000.00 ",Monthly,Monthly,,,,7/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,170 Evans Avenue,Etobicoke,"$8,225,000 ",Single Tenant,,,,7/11/2019,851653 Ontario Inc.,"Mary Ann Hood, President",170 Evans Avenue,2703539 Ontario Ltd.  - Private Investor - Canadian,"Edmon Eisavitazehkandi, ASO","360 Evans Avenue, Etobicoke, Ontario, M8Z 1K5",Subsequent,Vendor Financed,,,See Remarks,"$6,250,000.00 ",,Monthly,,7/1/2019,6/1/2022,7/11/2019,The interest rate shall be charged as follows: (a) Three Percent (3.0%) for months One to Twenty-Four (1-24); and (b) Three and OneHalf Percent (3.5%) for months Twenty-Five to Thirty-Six (25-36).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit B, 625 The Queensway
Unit C, 625 The Queensway",Etobicoke,"$1,122,331 ",Multi Tenant,,,Flex Office,7/9/2019,An individual(s) acting in his/her own capacity,,"Lyubomyra Tomchuk and Volodymyr Tomchuk, ASO",2653266 Ontario Corporation  - Private Investor - Canadian,"Lyubomyra Tomchuk and Volodymyr Tomchuk, ASO","625 The Queensway B & C, Toronto, Ontario, M8Y 1K3",Subsequent,The Bank of Nova Scotia,,,Prime plus 6% per annum,"$1,200,000.00 ",,,,,,7/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 6, 7681 Highway No. 27",Vaughan,"$1,072,500 ",Multi Tenant,,,Flex Office,7/9/2019,Coluccio Designs Inc.,"Vincenzo Coluccio, President","Vincenzo Coluccio, President",Shuja Properties Ltd.  - Private Investor - Canadian,"Tabasum Shuja Bazaz, ASO","6 - 2681 Highway 27, Vaughan, Ontario, L4L 4M5",Subsequent - Demand Debenture,Royal Bank of Canada,,,Royal Bank of Canada's Prime Interest Rate plus 5.0% per annum,"$858,000.00 ",,,,,,7/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 301, 2875 Fourteenth Avenue
Unit 302, 2875 Fourteenth Avenue
Unit 303, 2875 Fourteenth Avenue
Unit 304, 2875 Fourteenth Avenue",Markham,"$2,602,857 ",Multi Tenant,,,Flex Office,7/5/2019,Restaurant Development Partners Inc. (14th Avenue Investments Inc.),"Paul Durigon, President", 2875 Fourteenth Avenue    -   2016-12-19,ICC Property Management Ltd. (ICC Properties Inc.)  - User,"Steven Christodoulou, ASO","2875 14th Avenue, Units 1C-4C, Markham, Ontario, L3R 0H9",Subsequent,Business Development Bank of Canada,,,Business Development Bank of Canada's Base Rate plus 10.0%,"$2,610,000.00 ",Monthly,Monthly,,,,7/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 1, 2875 Fourteenth Avenue
Unit 3, 2875 Fourteenth Avenue",Markham,"$1,372,171 ",Multi Tenant,,,Flex Office,7/4/2019,Restaurant Development Partners Inc. (14th Avenue Investments Inc.),"Paul Durigon, President", 2875 Fourteenth Avenue    -   2016-12-19,2875 14th Avenue Corporation  - Private Investor - Canadian,"William Yow, ASO","2528 Bayview Avenue, P.O. Box # 35504, Toronto, Ontario",Subsequent,Business Development Bank of Canada,,,Business Development Bank of Canada's Base Rate plus 10.0%,"$1,450,000.00 ",Monthly,Monthly,,,,7/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,225 Duncan Mill Road,North York,"$26,650,152 ",Multi Tenant,,,,7/4/2019,Slate Office Management (GTA Office DMM Inc.),"Ramsey Ali, ASO"," 225 Duncan Mill Road, 85 and 101 Valleybrook Drive    -   2006-06-14",AZVB Inc.  - Private Investor - Canadian,"Adolph Zarovinsky, ASO","110 Cumberland Street, Suite 505, Toronto, ON, M5R 3V5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 2, 2875 Fourteenth Avenue
Unit 4, 2875 Fourteenth Avenue
Unit 5, 2875 Fourteenth Avenue
Unit 6, 2875 Fourteenth Avenue",Markham,"$2,561,414 ",Multi Tenant,,,Flex Office,7/4/2019,Restaurant Development Partners Inc. (14th Avenue Investments Inc.),"Paul Durigon, President", 2875 Fourteenth Avenue    -   2008-01-18,2875 14th Avenue Corporation  - Private Investor - Canadian,"William Yow, ASO","2528 Bayview Avenue, P.O. Box # 35504, Toronto, Ontario",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal's Prime Rate plus 5.00%,"$1,888,000.00 ",,,,,,7/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 202, 2875 Fourteenth Avenue
Unit 204, 2875 Fourteenth Avenue",Markham,"$1,336,889 ",Multi Tenant,,,Flex Office,7/4/2019,Restaurant Development Partners Inc. (14th Avenue Investments Inc.),"Paul Durigon, President", 2875 Fourteenth Avenue    -   2008-01-18,Z2M3 Holdings Inc.  - Private Investor - Canadian,"Zia Ali Butt, ASO","Building 1 - Units 207/209, 2875 14th Avenue, Markham, Ontario, L3R 0H9",Subsequent,Business Development Bank of Canada,,,Business Development Bank of Canada's Base Rate plus 10.0%,"$1,450,000.00 ",Monthly,Monthly,,,,7/4/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,218 Carlton Street,Old Toronto,"$2,750,000 ",Single Tenant,,,Flex Office,6/28/2019,We Charity,"Victor Li, ASO", 218 Carlton Street    -   2011-06-23,2690799 Ontario Inc.  - Private Investor - Canadian,"Gary Switzer, ASO","8 Price Street, Toronto, Ontario, M4W 1Z4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,163 Plains Road West,Burlington,"$1,100,000 ",Single Tenant,,,Medical Office Building,6/27/2019,1869495 Ontario Limited,"John Edward Vereecke and Tammy Francouer, President and Secretary-Treasurer", 163 Plains Road West    -   2015-05-15,Safetycare Inc.  - User,"Edward Aasman, ASO","163 Plains Road West, Burlington, Ontario, L7T 1G1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"20 Wellington Street East
88 Scott Street",Old Toronto,"$47,680,000 ",Multi Tenant,,,,6/25/2019,Concert Properties Ltd. (Concert Real Estate Corporation),"Andrew Tong and Brian McCauley, Senior Vice President, Investments and President and Chief Executive Officer", 40 Scott Street    -   2012-03-29,Concert Properties Ltd. (20 Wellington Street East Toronto Holdings Inc.)  - Private Investor - Canadian,"Andrew Tong, ASO","c/o 1190 Hornby Street, 9th Floor, Vancouver, British Columbia, V6Z 2K5",Subsequent,The Manufacturers Life Insurance Company,Manulife (International) Limited,,3.18% per annum,"$25,000,000.00 ",Semi-annually,Monthly,"$107,558.73 ",8/1/2019,1/1/2029,6/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,5747 Coopers Avenue,Mississauga,"$2,050,000 ",Single Tenant,,,Flex Office,6/25/2019,Meharana Group Ltd.,"Ita Frances Aggarway, President","5457 Elgar Court, Mississauga, Ontario, L5M 5C9",Greatway Financial Inc.  - User,"Marlon Arellano Antonio, ASO","5747 Coopers Avenue, Mississauga, Ontario, L4Z 1R9",Subsequent,Vendor Financed,,,4.25% per annum,"$1,435,000.00 ",Semi-annually,Monthly,"$8,857.61 ",8/1/2019,7/1/2024,6/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,175 North Street,Scugog,"$1,190,000 ",Multi Tenant,,,Flex Office,6/21/2019,An individual(s) acting in his/her own capacity,,"Michael Earl Konopaski, ASO",Inclusive Advisory (KG Investments Limited)  - Private Investor - Canadian,"Michael Earl Konopaski, ASO","521 George Street North, Peterborough, Ontario, K9H 3S1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"226 Wyecroft Road
228 Wyecroft Road",Oakville,"$31,000,000 ",Multi Tenant,,,Flex Office,6/18/2019,Tim Hortons (The TDL Group Corp.),"Hammad Ahmar, Head of Asset Management",226 Wyecroft Road,Nicola Wealth Real Estate (Nicola Wyecroft Ltd.)  - Private Investor - Canadian,"Mark Hanna, Director","c/o Nicola Wealth; 1508 West Broadway, 5th Floor, Vancouver, British Columbia, V6J 1W8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"1045 North Service Road West
1075 North Service Road West
1155 North Service Road West",Oakville,"$30,000,000 ",Multi Tenant,,,Flex Office,6/17/2019,"QuadReal Property Group (2748355 Canada Inc.)
QuadReal Property Group (9088610 Canada Inc.)","Jamie Manley and Edward Lam, ASOs", 1045 North Service Road West    -   2014-12-11,Crown Realty Partners (CR4 North Service Road Inc.)  - Private Investor - Canadian,"James Christie and Leslie Miller, ASO","Crown Realty Properties Inc.; c/o Suite 1900, 400 University Avenue, Toronto, Ontario, M5G 1S5",Subsequent,"Wells Fargo Bank, N.A., Canadian Branch",,,See remarks,"$21,700,000.00 ",,,,,,6/17/2019,"The Principal Sum which is to be advanced by the Chargee and which is secured by this Charge is TWENTY ONE MILLION SEVEN HUNDRED THOUSAND DOLLARS CANADIAN DOLLARS (CAD$21,700,000.00). The rate of interest chargeable upon the Principal Sum owing from time to time or at any time to the Chargee by the Chargor shall be 2.00 percentage points (2.00%) per annum over the monthly CDOR Rate quoted daily at 11:00 A.M. (Eastern Time), from time to time by Reuters on the ""CDOR Page"" or Bloomberg if Reuters is unavailable (the ""CDOR Rate""). Such interest rate (the ""Interest Rate"") shall be set with respect to each advance on the day of each advance and shall be calculated daily from the date of each advance up to the first day of the following month (exclusively). Thereafter, until the Principal Sum is fully repaid, the interest rate shall be set monthly on the first day of each month for such month with respect to the balance outstanding (aggregate advances) and calculated daily, as well after as before maturity, default or judgment. In the event that Reuters does not quote a CDOR Rate for the specified term on any date as herein provided for setting of interest rate, then the ODOR Rate shall be deemed to be the CDOR Rate listed on Bloomberg. The interest rate is subject to a minimum monthly CDOR Rate of 0.25% per annum plus 2.00% per annum floor rate of 2.50 percent per annum (2.50°/a). Such interest rate shall be determined upon the basis of three hundred and sixty-five (365) days, shall be calculated in accordance with the Chargee's usual practice (as to times and methods of calculation) and shall be adjusted automatically without notice to the Chargor. Interest shall be calculated monthly, not in advance, as well after as before maturity of this Charge, and as well after as before default and as well after as before judgment, with interest on overdue interest at the same rate, calculated and compounded in the same manner, until paid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,1600 Champlain Avenue,Whitby,"$12,500,000 ",Multi Tenant,,,Flex Office,6/14/2019,Whitchamp Holdings Ltd.,"Bo Wei, Mengke Pan and Xiao Feng Guo, Directors", 1600 Champlain Avenue    -   2016-04-11,Milestone Holdings Corp.  - Private Investor - Canadian,"Song Ye, Bo Wei, Yikuang Wang, ASOs","7030 Woodbine Avenue, Suite 405, Markham, Ontario, L3R 3G2",Subsequent,Royal Bank of Canada,,,18%,"$8,000,000.00 ",Monthly,Monthly,"$117,310.39 ",8/1/2019,7/1/2022,6/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"99 Queen Street South
101 Queen Street South
105 Queen Street South",Mississauga,"$4,900,000 ",Multi Tenant,,,Flex Office,6/14/2019,Trakenmar Inc.,"105 Queen Streeth South, President",101 Queen Street South,2583469 Ontario Inc.  - User,"Kalin McDonald & Curtis Link, ASO","6465 Millcreek Drive, Suite 204, Mississauga, Ontario, L5C 5R3",VTB,Vendor Financed,,,2.9% per annum,"$3,430,000.00 ",Semi-annually,Monthly,"$23,493.82 ",7/14/2019,6/14/2024,6/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,2181 Queen Street East,Old Toronto,"$6,850,000 ",Multi Tenant,,,,6/13/2019,Beach-Lands Inc.,"Gerald Shear, ASO","Gerald Shear, ASO",We the Beach Inc.  - Private Investor - Canadian,"Jason Schuy, ASO","c/o 49 Lee Avenue, Toronto, Ontario, M4E 2P1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,4129 Lawrence Avenue East,Scarborough,"$3,000,000 ",Multi Tenant,,,Flex Office,6/7/2019,2379810 Ontario Inc.,"Frank Colarossi, ASO", 4129 Lawrence Avenue East    -   2019-01-25,2699064 Ontario Inc.  - Private Investor - Canadian,"Syed Nasir Ahmed, ASO","2541 East Hungerford Road, Tweed, Ontario, K0K 3J0",VTB,Vendor Financed,,,6.0% per annum,"$2,850,000.00 ",Monthly,Monthly,"$14,449.50 ",6/30/2019,5/31/2021,6/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 610, 18 Wynford Drive
Unit 611, 18 Wynford Drive
Unit 612, 18 Wynford Drive",North York,"$1,155,000 ",Multi Tenant,,,Flex Office,6/7/2019,Synergy Integrated Assessments Ltd.,"John Douglas Salmon, President"," Units 610 - 615, 18 Wynford Drive    -   2017-08-16",HAL Disability Management Inc.  - User,"Dahir Hashi, ASO","2010 Eglinton Avenue West, Suite 303, Toronto, Ontario, M6E 2K1",Subsequent - Demand Debenture,The Toronto-Dominion Bank,,,The Toronto-Dominion Bank's Prime Rate plus 5% per annum,"$924,000.00 ",Monthly,Monthly,,,,6/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 103, 250 Harding Boulevard",Richmond Hill,"$1,000,000 ",Multi Tenant,,,Medical Office Building,6/6/2019,"The Torgan Group (627812 Ontario Limited)
The Torgan Group (TOR Developments Inc.)","Eliahu Swirsky and Maor Cohen, President and ASO","4950 Yonge Street, Suite 1103, Toronto, Ontario, M2N 6K1",2687814 Ontario Inc.  - User,"Oscar Mousavi, ASO","10 Leyburn Avenue, Richmond Hill, Ontario, L4G 0R2",Subsequent,The Bank of Nova Scotia,,,Prime plus 6% per annum,"$1,736,000.00 ",,,,,,6/6/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"595 Bay Street
20 Dundas Street West
40 Dundas Street West",Old Toronto,"$640,000,000 ",Multi Tenant,,,,6/6/2019,H & R REIT (Atrium on Bay Portfolio Inc.),"David M. Kutner, ASO", Atrium on Bay    -   1996-05-01,"TD Greystone Asset Management (Dundas Atrium Toronto Inc. (as to an undivided 50% interest))  - Private Investor - Canadian
KingSett Capital (KS AOB Toronto Inc. (as to an undivided 50% interest))  - Private Investor - Canadian","Rob Kumer, Connie C. Aston and Greg S. Zahorski, ASO and Directors","40 King STreet West, 37th Floor, Toronto, ON, M5H 3Y2 and 300 Park Centre, 1230 Blackfoot Drive, Regina, SK, S4S 7G4",Subsequent - Demand Debenture,Royal Bank of Canada,,,25.0% per annum,"$384,000,000.00 ",,,,,,6/6/2019,,VTB,Vendor Financed,,,4.56% per annum,"$256,000,000.00 ",Monthly,Monthly,,7/6/2019,1/2/2020,6/6/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,15 Harwood Avenue South,Ajax,"$3,983,000 ",Multi Tenant,,,Flex Office,6/5/2019,SJ71 Limited,"MD Rana Tarekh, ASO", 15 Harwood Avenue South    -   2015-12-01,Twinough Real Estate Ltd.  - Private Investor - Foreign,"Laurent Sicsic, ASO","35 Balmuto Street, Suite 4101, Toronto, Ontario, M4Y 0A3",Subsequent,TT3 Inc. (as to an undivided 25% interest),1395788 Ontario Inc. (as to an undivided 40% interest),DWGE Business Inc. (as to an undivided 35% interest),"14% per annum, interest only","$1,124,496.00 ",,,,,2/15/2020,2/25/2019,,Subsequent,Computershare Trust Company of Canada,,,CIBC's Prime Rate plus 185 basis points,"$2,275,000.00 ",Monthly,Monthly,,4/1/2019,3/1/2022,2/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,"Unit 7, 7681 Highway No. 27",Vaughan,"$1,125,000 ",Multi Tenant,,,Flex Office,6/5/2019,2489775 Ontario Limited,"Gerry Arnini, ASO"," Unit 7 to 9, 7681 Highway No. 27    -   2017-10-11",2689227 Ontario Limited  - Private Investor - Canadian,"Mel Dragicevic, ASO","7 Unit, 7681 Highway 27, Vaughan",Subsequent - Demand Debenture,Business Development Bank of Canada,,,Business Development Bank of Canada's Base Rate plus 10.0%,"$1,325,000.00 ",Monthly,Monthly,,,,6/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
